ripChan_num,chan_num,mapped_name
1,1,lFEF_probeA_chan0001_ripChan0001
3,2,lFEF_probeA_chan0002_ripChan0003
5,3,lFEF_probeA_chan0003_ripChan0005
7,4,lFEF_probeA_chan0004_ripChan0007
9,5,lFEF_probeA_chan0005_ripChan0009
11,6,lFEF_probeA_chan0006_ripChan0011
13,7,lFEF_probeA_chan0007_ripChan0013
15,8,lFEF_probeA_chan0008_ripChan0015
17,9,lFEF_probeA_chan0009_ripChan0017
19,10,lFEF_probeA_chan0010_ripChan0019
21,11,lFEF_probeA_chan0011_ripChan0021
23,12,lFEF_probeA_chan0012_ripChan0023
25,13,lFEF_probeA_chan0013_ripChan0025
27,14,lFEF_probeA_chan0014_ripChan0027
29,15,lFEF_probeA_chan0015_ripChan0029
31,16,lFEF_probeA_chan0016_ripChan0031
2,17,lFEF_probeA_chan0017_ripChan0002
4,18,lFEF_probeA_chan0018_ripChan0004
6,19,lFEF_probeA_chan0019_ripChan0006
8,20,lFEF_probeA_chan0020_ripChan0008
10,21,lFEF_probeA_chan0021_ripChan0010
12,22,lFEF_probeA_chan0022_ripChan0012
14,23,lFEF_probeA_chan0023_ripChan0014
16,24,lFEF_probeA_chan0024_ripChan0016
