ripChan_num,chan_num,mapped_name
1,1,rFEF_probeA_chan0001_ripChan0001
3,2,rFEF_probeA_chan0002_ripChan0003
5,3,rFEF_probeA_chan0003_ripChan0005
7,4,rFEF_probeA_chan0004_ripChan0007
9,5,rFEF_probeA_chan0005_ripChan0009
11,6,rFEF_probeA_chan0006_ripChan0011
13,7,rFEF_probeA_chan0007_ripChan0013
15,8,rFEF_probeA_chan0008_ripChan0015
17,9,rFEF_probeA_chan0009_ripChan0017
19,10,rFEF_probeA_chan0010_ripChan0019
21,11,rFEF_probeA_chan0011_ripChan0021
23,12,rFEF_probeA_chan0012_ripChan0023
25,13,rFEF_probeA_chan0013_ripChan0025
27,14,rFEF_probeA_chan0014_ripChan0027
29,15,rFEF_probeA_chan0015_ripChan0029
31,16,rFEF_probeA_chan0016_ripChan0031
2,17,rFEF_probeA_chan0017_ripChan0002
4,18,rFEF_probeA_chan0018_ripChan0004
6,19,rFEF_probeA_chan0019_ripChan0006
8,20,rFEF_probeA_chan0020_ripChan0008
10,21,rFEF_probeA_chan0021_ripChan0010
12,22,rFEF_probeA_chan0022_ripChan0012
14,23,rFEF_probeA_chan0023_ripChan0014
16,24,rFEF_probeA_chan0024_ripChan0016
